1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 3.00258509299405e+00	| 3.00258509299405e+00	| 3.00258509299405e+00	 
1 		| 2.95022082852655e+00	| 2.95022082852655e+00	| 2.95022082852655e+00	 
2 		| 2.94594313228550e+00	| 2.94594313228550e+00	| 2.94594313228550e+00	 
3 		| 2.94591015120774e+00	| 2.94591015120774e+00	| 2.94591015120774e+00	 
4 		| 2.94591014905531e+00	| 2.94591014905531e+00	| 2.94591014905531e+00	 
Tempo total 	| 1.48925781250000e-01	| 1.11083984375000e-01	| 1.14013671875000e-01
Tempo derivadas | 7.76367187500000e-02	| 4.49218750000000e-02	| 3.58886718750000e-02
Tempo SL 	| 3.90625000000000e-03	| 3.90625000000000e-03	| 2.22167968750000e-02
#

1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 4.67517018598809e+00	| 4.67517018598809e+00	| 4.67517018598809e+00	 
1 		| 4.08275018307130e+00	| 4.08275018307130e+00	| 4.08275018307130e+00	 
2 		| 3.57639074071603e+00	| 3.57639074071603e+00	| 3.57639074071603e+00	 
3 		| 3.20635891025572e+00	| 3.20635891025572e+00	| 3.20635891025572e+00	 
4 		| 3.00839120361623e+00	| 3.00839120361623e+00	| 3.00839120361623e+00	 
5 		| 2.95105650769247e+00	| 2.95105650769247e+00	| 2.95105650769247e+00	 
6 		| 2.94595666289606e+00	| 2.94595666289606e+00	| 2.94595666289606e+00	 
7 		| 2.94591015332732e+00	| 2.94591015332732e+00	| 2.94591015332732e+00	 
8 		| 2.94591014905531e+00	| 2.94591014905531e+00	| 2.94591014905531e+00	 
Tempo total 	| 1.66015625000000e-01	| 1.62109375000000e-01	| 1.98974609375000e-01
Tempo derivadas | 1.41113281250000e-01	| 1.01074218750000e-01	| 9.47265625000000e-02
Tempo SL 	| 6.83593750000000e-03	| 7.08007812500000e-03	| 6.22558593750000e-02
#

2
-log(1-x1-x2)-log(x1)-log(x2)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 5.46083629604581e+00	| 5.46083629604581e+00	| 5.46083629604581e+00	 
1 		| 4.34975014622771e+00	| 4.34975014622771e+00	| 4.34975014622771e+00	 
2 		| 3.57150332245764e+00	| 3.99495083537911e+00	| 3.57150332245764e+00	 
3 		| 3.32290880078183e+00	| 3.41119527447189e+00	| 3.32290880078183e+00	 
4 		| 3.29620081495115e+00	| 3.32948105155279e+00	| 3.29620081495115e+00	 
5 		| 3.29583691254300e+00	| 3.29645047391140e+00	| 3.29583691254300e+00	 
6 		| 3.29583686600433e+00	| 3.29583762457231e+00	| 3.29583686600433e+00	 
7 		| 3.29583686600433e+00	| 3.29583686600452e+00	| 3.29583686600433e+00	 
8 		| 			| 3.29583686600438e+00	| 			 
9 		| 			| 3.29583686600433e+00	| 			 
Tempo total 	| 3.45947265625000e-01	| 3.95996093750000e-01	| 1.02612304687500e+00
Tempo derivadas | 2.97119140625000e-01	| 2.82958984375000e-01	| 3.18603515625000e-01
Tempo SL 	| 9.76562500000000e-03	| 1.19628906250000e-02	| 1.75537109375000e-01
#

1
9*x1-4*log(x1-7)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 8.15106807439524e+01	| 8.15106807439524e+01	| 8.15106807439524e+01	 
1 		| 7.88713220613138e+01	| 7.88713220613138e+01	| 7.88713220613138e+01	 
2 		| 7.63587818408702e+01	| 7.63587818408702e+01	| 7.63587818408702e+01	 
3 		| 7.40818571929966e+01	| 7.40818571929966e+01	| 7.40818571929966e+01	 
4 		| 7.22117958517748e+01	| 7.22117958517748e+01	| 7.22117958517748e+01	 
5 		| 7.09496957749186e+01	| 7.09496957749186e+01	| 7.09496957749186e+01	 
6 		| 7.03728711432698e+01	| 7.03728711432698e+01	| 7.03728711432698e+01	 
7 		| 7.02498446052009e+01	| 7.02498446052009e+01	| 7.02498446052009e+01	 
8 		| 7.02437383098071e+01	| 7.02437383098071e+01	| 7.02437383098071e+01	 
9 		| 7.02437208650169e+01	| 7.02437208650169e+01	| 7.02437208650169e+01	 
10 		| 7.02437208648653e+01	| 7.02437208648653e+01	| 7.02437208648653e+01	 
Tempo total 	| 2.50000000000000e-01	| 2.50000000000000e-01	| 2.87841796875000e-01
Tempo derivadas | 4.14062500000000e-01	| 4.01611328125000e-01	| 4.40917968750000e-01
Tempo SL 	| 1.36718750000000e-02	| 1.58691406250000e-02	| 2.26562500000000e-01
#

1
9*x1-4*log(x1-7)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 7.02725887222398e+01	| 7.02725887222398e+01	| 7.02725887222398e+01	 
1 		| 7.02442142927379e+01	| 7.02442142927379e+01	| 7.02442142927379e+01	 
2 		| 7.02437209840940e+01	| 7.02437209840940e+01	| 7.02437209840940e+01	 
3 		| 7.02437208648653e+01	| 7.02437208648653e+01	| 7.02437208648653e+01	 
4 		| 7.02437208648653e+01	| 7.02437208648653e+01	| 7.02437208648653e+01	 
Tempo total 	| 9.30175781250000e-02	| 9.79003906250000e-02	| 1.07910156250000e-01
Tempo derivadas | 4.51171875000000e-01	| 4.41894531250000e-01	| 4.86572265625000e-01
Tempo SL 	| 1.58691406250000e-02	| 1.78222656250000e-02	| 2.46582031250000e-01
#

1
6*x1-4*log(x1-2)-3*log(25-x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 8.72687263992505e+00	| 8.72687263992505e+00	| 8.72687263992505e+00	 
1 		| 8.50340550181464e+00	| 8.50340550181464e+00	| 8.50340550181464e+00	 
2 		| 8.31643341872772e+00	| 8.31643341872772e+00	| 8.31643341872772e+00	 
3 		| 8.30271776155124e+00	| 8.30271776155124e+00	| 8.30271776155124e+00	 
4 		| 8.30263234880710e+00	| 8.30263234880710e+00	| 8.30263234880710e+00	 
5 		| 8.30263234519765e+00	| 8.30263234519765e+00	| 8.30263234519765e+00	 
Tempo total 	| 2.74902343750000e-01	| 3.00048828125000e-01	| 3.43994140625000e-01
Tempo derivadas | 6.13281250000000e-01	| 6.08154296875000e-01	| 6.50878906250000e-01
Tempo SL 	| 2.00195312500000e-02	| 2.17285156250000e-02	| 2.90527343750000e-01
#

2
-9*x1-10*x2+100*(-log(100-x1-x2)-log(x1)-log(x2)-log(50-x1+x2))
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -2.18752003151564e+03	| -2.18752003151564e+03	| -2.18752003151564e+03	 
1 		| -2.25768096813283e+03	| -2.25768096813283e+03	| -2.25661151223513e+03	 
2 		| -2.29066087005638e+03	| -2.26212396380743e+03	| -2.29024537270621e+03	 
3 		| -2.29789698124135e+03	| -2.29265971668018e+03	| -2.29788918843970e+03	 
4 		| -2.29840179880820e+03	| -2.29344087880358e+03	| -2.29840188411917e+03	 
5 		| -2.29840598668702e+03	| -2.29829212310663e+03	| -2.29840598670085e+03	 
6 		| -2.29840598701713e+03	| -2.29829222871952e+03	| -2.29840598701713e+03	 
7 		| -2.29840598701713e+03	| -2.29840593481322e+03	| 			 
8 		| 			| -2.29840591153628e+03	| 			 
9 		| 			| -2.29840598701711e+03	| 			 
10 		| 			| -2.29840598701710e+03	| 			 
11 		| 			| -2.29840598701713e+03	| 			 
Tempo total 	| 4.18310546875000e+00	| 5.62182617187500e+00	| 3.22412109375000e+00
Tempo derivadas | 3.42382812500000e+00	| 4.39550781250000e+00	| 2.85400390625000e+00
Tempo SL 	| 2.58789062500000e-02	| 3.10058593750000e-02	| 3.70605468750000e-01
#

2
sin(x1+x2)+(x1-x2)^2-1.5*x1+2.5*x2+1
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -9.09297426825682e-01	| -9.09297426825682e-01	| -9.09297426825682e-01	 
1 		| -1.91322090085391e+00	| -1.91322090085391e+00	| -1.91322090085391e+00	 
2 		| -1.91322295498023e+00	| -1.91322292539638e+00	| -1.91322295498023e+00	 
3 		| -1.91322295498104e+00	| -1.91322295498104e+00	| -1.91322295498104e+00	 
Tempo total 	| 5.39062500000000e-01	| 4.40917968750000e-01	| 6.17919921875000e-01
Tempo derivadas | 3.74682617187500e+00	| 4.60913085937500e+00	| 3.15136718750000e+00
Tempo SL 	| 2.88085937500000e-02	| 3.49121093750000e-02	| 4.42871093750000e-01
#

2
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -7.80000000000000e+01	| -7.80000000000000e+01	| -7.80000000000000e+01	 
1 		| -7.83316728201422e+01	| -7.83316728201422e+01	| -7.83316728201422e+01	 
2 		| -7.83323314043909e+01	| -7.83323263235824e+01	| -7.83323314043909e+01	 
3 		| -7.83323314075428e+01	| -7.83323314075426e+01	| -7.83323314075428e+01	 
4 		| 			| -7.83323314075429e+01	| 			 
Tempo total 	| 3.17895507812500e+00	| 2.94409179687500e+00	| 2.21899414062500e+00
Tempo derivadas | 6.27221679687500e+00	| 6.95996093750000e+00	| 4.87719726562500e+00
Tempo SL 	| 3.29589843750000e-02	| 4.10156250000000e-02	| 4.77783203125000e-01
#

4
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -1.56000000000000e+02	| -1.56000000000000e+02	| -1.56000000000000e+02	 
1 		| -1.56663345640284e+02	| -1.56663345640284e+02	| -1.56663345640284e+02	 
2 		| -1.56664662808782e+02	| -1.56664652647165e+02	| -1.56664662808782e+02	 
3 		| -1.56664662815086e+02	| -1.56664662733203e+02	| -1.56664662815086e+02	 
4 		| 			| -1.56664662814424e+02	| 			 
5 		| 			| -1.56664662815086e+02	| 			 
Tempo total 	| 8.69897460937500e+00	| 8.37011718750000e+00	| 4.10083007812500e+00
Tempo derivadas | 1.40771484375000e+01	| 1.44030761718750e+01	| 8.51513671875000e+00
Tempo SL 	| 4.19921875000000e-02	| 5.29785156250000e-02	| 5.13671875000000e-01
#

10
